Enlace,Periodo,Cap,Real,Img
1ROM-AGUA,01.__2021,"1,480.00",0.00,0.03
1ROM-AGUA,02.__2022,0.00,0.00,0.00
1ROM-AGUA,03.__2023,0.00,0.00,0.00
1ROM-AGUA,04.__2024,224.00,2.06,262.80
1ROM-AGUA,05.__2025,0.00,0.00,0.00
1ROM-AGUA,06.__2026,0.00,0.00,0.00
1ROM-AGUA,07.__2027,0.00,0.00,0.00
1ROM-AGUA,08.__2028,0.00,0.00,0.00
1ROM-AGUA,09.__2029,0.00,0.00,0.00
1ROM-AGUA,10.__2030,0.00,0.00,0.00
1ROM-AGUA,11.__2031,0.00,0.00,0.00
1ROM-AGUA,12.__2032,0.00,0.00,0.00
1ROM-AGUA,13.__2033,0.00,0.00,0.00
1ROM-AGUA,14.__2034,0.00,0.00,0.00
1ROM-AGUA,15.__2035,0.00,0.00,0.00
1ROM-AGUA,16.__2036,0.00,0.00,0.00
1ROM-AGUA,17.__2037,0.00,0.00,0.00
1ROM-AGUA,18.__2038,0.00,0.00,0.00
1ROM-AGUA,19.__2039,0.00,0.00,0.00
1ROM-AGUA,20.__2040,0.00,0.00,0.00
1ROM-AGUA,21.__2041,0.00,0.00,0.00
AGUA-LEON,01.__2021,"1,500.00",0.00,0.01
AGUA-LEON,02.__2022,0.00,0.00,0.00
AGUA-LEON,03.__2023,0.00,0.00,0.00
AGUA-LEON,04.__2024,0.00,0.00,0.00
AGUA-LEON,05.__2025,0.00,0.00,0.00
AGUA-LEON,06.__2026,350.00,0.69,73.39
AGUA-LEON,07.__2027,0.00,0.00,0.00
AGUA-LEON,08.__2028,0.00,0.00,0.00
AGUA-LEON,09.__2029,0.00,0.00,0.00
AGUA-LEON,10.__2030,0.00,0.00,0.00
AGUA-LEON,11.__2031,0.00,0.00,0.00
AGUA-LEON,12.__2032,0.00,0.00,0.00
AGUA-LEON,13.__2033,0.00,0.00,0.00
AGUA-LEON,14.__2034,0.00,0.00,0.00
AGUA-LEON,15.__2035,0.00,0.00,0.00
AGUA-LEON,16.__2036,0.00,0.00,0.00
AGUA-LEON,17.__2037,0.00,0.00,0.00
AGUA-LEON,18.__2038,0.00,0.00,0.00
AGUA-LEON,19.__2039,0.00,0.00,0.00
AGUA-LEON,20.__2040,0.00,0.00,0.00
AGUA-LEON,21.__2041,0.00,0.00,0.00
AGUA-SLP,01.__2021,"1,300.00",0.00,0.01
AGUA-SLP,02.__2022,0.00,0.00,0.00
AGUA-SLP,03.__2023,0.00,0.00,0.00
AGUA-SLP,04.__2024,0.00,0.00,0.00
AGUA-SLP,05.__2025,0.00,0.00,0.00
AGUA-SLP,06.__2026,0.00,0.00,0.00
AGUA-SLP,07.__2027,0.00,0.00,0.00
AGUA-SLP,08.__2028,0.00,0.00,0.00
AGUA-SLP,09.__2029,0.00,0.00,0.00
AGUA-SLP,10.__2030,0.00,0.00,0.00
AGUA-SLP,11.__2031,0.00,0.00,0.00
AGUA-SLP,12.__2032,0.00,0.00,0.00
AGUA-SLP,13.__2033,0.00,0.00,0.00
AGUA-SLP,14.__2034,0.00,0.00,0.00
AGUA-SLP,15.__2035,0.00,0.00,0.00
